order_id,user_id,product_id,category,qty,unit_price,paid_amount,discount,order_date,channel,warehouse_dist,city_level,delivery_days,status
ORD100000,1435,P0040,Fashion,2,460.0,920.0,0.0,2025-09-30,App,32,3,5,delivered
ORD100001,3485,P0044,Fashion,3,390.0,1170.0,0.0,2025-09-27,App,11,1,3,delivered
ORD100002,4022,P0023,Mobile Phone,1,4910.0,4910.0,0.0,2026-07-27,MiniProgram,7,1,2,delivered
ORD100003,4106,P0046,Fashion,3,100.0,300.0,0.0,2025-12-16,Web,34,3,6,delayed
ORD100004,2773,P0010,Laptop & Accessory,3,367.2,1101.6,0.46,2025-11-12,App,16,1,3,delivered
ORD100005,200,P0049,Others,2,270.0,540.0,0.1,2026-01-27,Web,8,1,1,delivered
ORD100006,1514,P0022,Mobile Phone,1,5080.0,5080.0,0.2,2026-04-18,App,11,1,3,delivered
ORD100007,562,P0018,Mobile Phone,2,945.0,1890.0,0.1,2026-08-09,Web,36,1,5,delivered
ORD100008,2754,P0001,Laptop & Accessory,1,6327.0,6327.0,0.1,2025-11-10,Web,13,3,2,delivered
ORD100009,484,P0046,Fashion,4,80.0,320.0,0.2,2026-07-26,App,21,1,3,delivered
ORD100010,4366,P0044,Fashion,3,273.0,819.0,0.3,2025-08-12,Web,16,3,3,delivered
ORD100011,565,P0005,Laptop & Accessory,1,5900.0,5900.0,0.0,2026-02-27,App,23,3,4,delivered
ORD100012,133,P0066,Grocery,3,40.0,120.0,0.0,2026-04-04,Web,14,1,2,delivered
ORD100013,3641,P0026,Household,3,261.0,783.0,0.1,2025-09-18,App,28,3,4,delivered
ORD100014,581,P0010,Laptop & Accessory,3,612.0,1836.0,0.1,2025-10-04,MiniProgram,36,1,4,delivered
ORD100015,63,P0006,Laptop & Accessory,1,2280.0,2280.0,0.0,2025-12-26,Web,32,1,3,delivered
ORD100016,2038,P0013,Mobile Phone,2,1910.0,3820.0,0.0,2026-08-14,App,9,1,3,delivered
ORD100017,4312,P0029,Household,3,49.0,147.0,0.3,2026-03-18,App,14,1,1,delivered
ORD100018,803,P0003,Laptop & Accessory,1,6920.0,6920.0,0.0,2026-07-30,App,17,3,5,delivered
ORD100019,1373,P0006,Laptop & Accessory,2,1846.8,3693.6,0.19,2026-06-14,App,10,3,3,delivered
ORD100020,671,P0044,Fashion,3,312.0,936.0,0.2,2026-01-17,App,6,1,2,delivered
ORD100021,2084,P0069,Grocery,3,7.2,21.6,0.28,2026-06-11,App,9,1,2,delivered
ORD100022,1015,P0008,Laptop & Accessory,2,2366.0,4732.0,0.3,2025-08-09,App,22,3,4,delivered
ORD100023,2224,P0010,Laptop & Accessory,3,612.0,1836.0,0.1,2025-09-20,Web,9,3,3,delivered
ORD100024,1678,P0031,Household,3,129.6,388.8,0.28,2026-06-18,MiniProgram,7,1,3,delivered
ORD100025,4038,P0011,Laptop & Accessory,1,4271.4,4271.4,0.37,2026-06-13,Web,18,1,5,delivered
ORD100026,2589,P0004,Laptop & Accessory,1,3418.2,3418.2,0.19,2025-11-04,Web,18,1,1,delivered
ORD100027,2653,P0010,Laptop & Accessory,3,544.0,1632.0,0.2,2026-02-15,App,14,3,3,delivered
ORD100028,1706,P0006,Laptop & Accessory,1,2280.0,2280.0,0.0,2026-03-22,App,16,1,4,delivered
ORD100029,964,P0046,Fashion,3,100.0,300.0,0.0,2026-06-29,App,9,3,5,delivered
ORD100030,995,P0014,Mobile Phone,1,5690.0,5690.0,0.0,2026-03-21,App,22,1,4,delivered
ORD100031,1784,P0014,Mobile Phone,1,3983.0,3983.0,0.3,2025-12-23,MiniProgram,30,1,4,delivered
ORD100032,559,P0008,Laptop & Accessory,1,3042.0,3042.0,0.1,2025-12-06,Web,14,3,4,delivered
ORD100033,355,P0007,Laptop & Accessory,1,7500.0,7500.0,0.0,2025-12-29,Web,32,1,3,delivered
ORD100034,1197,P0041,Fashion,3,351.0,1053.0,0.1,2026-04-12,App,9,1,2,delivered
ORD100035,348,P0010,Laptop & Accessory,3,680.0,2040.0,0.0,2026-06-29,App,10,3,4,delivered
ORD100036,652,P0068,Grocery,3,180.0,540.0,0.0,2026-01-11,MiniProgram,34,1,5,delivered
ORD100037,1968,P0010,Laptop & Accessory,3,550.8,1652.4,0.19,2025-11-06,App,8,3,3,delivered
ORD100038,3286,P0038,Fashion,3,136.8,410.4,0.28,2025-11-04,App,15,3,5,delivered
ORD100039,635,P0001,Laptop & Accessory,1,7030.0,7030.0,0.0,2026-05-26,Web,14,1,3,delivered
ORD100040,3296,P0012,Laptop & Accessory,1,2851.2,2851.2,0.19,2026-06-15,App,11,3,4,delivered
ORD100041,36,P0018,Mobile Phone,2,945.0,1890.0,0.1,2025-09-18,Web,28,1,4,delivered
ORD100042,4511,P0036,Household,3,594.0,1782.0,0.1,2025-08-31,MiniProgram,27,3,4,delivered
ORD100043,1850,P0014,Mobile Phone,1,4552.0,4552.0,0.2,2026-03-17,App,12,1,4,delivered
ORD100044,1672,P0046,Fashion,4,90.0,360.0,0.1,2025-10-07,MiniProgram,11,3,3,delivered
ORD100045,2490,P0039,Fashion,2,129.6,259.2,0.28,2026-06-17,App,20,1,4,delivered
ORD100046,1671,P0008,Laptop & Accessory,1,3042.0,3042.0,0.1,2025-11-13,App,10,1,2,delivered
ORD100047,1369,P0008,Laptop & Accessory,1,3042.0,3042.0,0.1,2025-10-06,MiniProgram,7,1,3,delivered
ORD100048,1188,P0012,Laptop & Accessory,1,3520.0,3520.0,0.0,2026-07-24,Web,13,3,4,delivered
ORD100049,4368,P0034,Household,3,696.0,2088.0,0.2,2025-10-16,Web,14,1,2,delivered
ORD100050,3734,P0066,Grocery,3,28.8,86.4,0.28,2025-11-10,App,15,1,4,delivered
ORD100051,1777,P0052,Others,3,350.0,1050.0,0.0,2025-10-11,App,36,3,6,delayed
ORD100052,3607,P0018,Mobile Phone,2,1050.0,2100.0,0.0,2025-09-22,App,25,1,2,delivered
ORD100053,433,P0053,Others,3,200.0,600.0,0.0,2025-08-10,MiniProgram,6,3,2,delivered
ORD100054,1926,P0010,Laptop & Accessory,3,680.0,2040.0,0.0,2025-08-26,App,6,1,2,delivered
ORD100055,1552,P0039,Fashion,4,108.0,432.0,0.4,2025-10-20,App,7,1,3,delivered
ORD100056,1020,P0054,Others,3,376.0,1128.0,0.2,2025-08-25,App,8,3,4,delivered
ORD100057,3981,P0024,Mobile Phone,1,2842.0,2842.0,0.3,2026-03-15,Web,16,1,2,delivered
ORD100058,3589,P0038,Fashion,3,152.0,456.0,0.2,2026-04-26,App,23,3,4,delivered
ORD100059,3924,P0013,Mobile Phone,2,1719.0,3438.0,0.1,2025-12-14,Web,19,1,3,delivered
ORD100060,2416,P0017,Mobile Phone,1,4681.8,4681.8,0.19,2025-11-14,App,8,1,2,delivered
ORD100061,1223,P0066,Grocery,4,36.0,144.0,0.1,2026-02-03,Web,6,3,4,delivered
ORD100062,3080,P0045,Fashion,2,390.0,780.0,0.0,2026-07-03,App,10,1,3,delivered
ORD100063,295,P0002,Laptop & Accessory,1,4459.0,4459.0,0.3,2026-06-21,App,9,3,2,delivered
ORD100064,3689,P0017,Mobile Phone,1,5780.0,5780.0,0.0,2025-08-20,App,28,1,5,delivered
ORD100065,74,P0029,Household,3,70.0,210.0,0.0,2025-10-23,MiniProgram,14,1,3,delivered
ORD100066,3493,P0016,Mobile Phone,1,5967.0,5967.0,0.1,2025-11-04,App,11,1,2,delivered
ORD100067,2802,P0010,Laptop & Accessory,3,367.2,1101.6,0.46,2025-11-06,Web,13,3,3,delivered
ORD100068,241,P0013,Mobile Phone,2,1719.0,3438.0,0.1,2026-03-07,Web,9,3,3,delivered
ORD100069,422,P0030,Household,3,396.0,1188.0,0.1,2025-12-25,Web,15,3,4,delivered
ORD100070,1563,P0010,Laptop & Accessory,3,680.0,2040.0,0.0,2025-08-23,App,9,2,2,delivered
ORD100071,952,P0004,Laptop & Accessory,1,2954.0,2954.0,0.3,2025-12-05,App,18,3,4,delivered
ORD100072,3745,P0038,Fashion,3,190.0,570.0,0.0,2026-02-12,App,25,2,4,delivered
ORD100073,561,P0071,Grocery,3,130.0,390.0,0.0,2025-09-16,App,15,3,4,delivered
ORD100074,1417,P0018,Mobile Phone,3,850.5,2551.5,0.19,2026-06-18,App,16,1,3,delivered
ORD100075,767,P0005,Laptop & Accessory,1,5900.0,5900.0,0.0,2025-08-24,App,17,3,4,delivered
ORD100076,339,P0011,Laptop & Accessory,1,4746.0,4746.0,0.3,2026-07-26,Web,30,3,4,delivered
ORD100077,764,P0010,Laptop & Accessory,2,476.0,952.0,0.3,2025-09-15,App,9,3,3,delivered
ORD100078,3730,P0032,Household,3,233.1,699.3,0.37,2026-06-20,App,28,1,4,delivered
ORD100079,2872,P0015,Mobile Phone,1,5900.0,5900.0,0.0,2026-07-16,App,29,1,5,delivered
ORD100080,3960,P0020,Mobile Phone,1,4980.0,4980.0,0.0,2026-08-20,Web,25,1,4,delivered
ORD100081,1356,P0010,Laptop & Accessory,3,428.4,1285.2,0.37,2026-06-13,MiniProgram,9,2,2,delivered
ORD100082,682,P0053,Others,3,126.0,378.0,0.37,2026-06-10,Web,13,3,4,delivered
ORD100083,70,P0005,Laptop & Accessory,1,4720.0,4720.0,0.2,2026-04-08,MiniProgram,22,3,3,delivered
ORD100084,1744,P0017,Mobile Phone,1,3641.4,3641.4,0.37,2026-06-10,Web,35,1,5,delivered
ORD100085,108,P0009,Laptop & Accessory,1,4949.0,4949.0,0.3,2025-10-01,App,31,3,5,delivered
ORD100086,10,P0055,Others,3,119.0,357.0,0.3,2026-02-18,App,10,3,3,delivered
ORD100087,2279,P0014,Mobile Phone,1,3983.0,3983.0,0.3,2026-02-08,App,23,1,5,delivered
ORD100088,492,P0020,Mobile Phone,1,3984.0,3984.0,0.2,2026-06-25,App,10,1,3,delivered
ORD100089,2093,P0018,Mobile Phone,3,630.0,1890.0,0.4,2026-01-15,App,9,3,3,delivered
ORD100090,2155,P0007,Laptop & Accessory,1,5250.0,5250.0,0.3,2025-12-10,App,14,1,4,delivered
ORD100091,2927,P0029,Household,3,63.0,189.0,0.1,2026-04-06,App,13,3,4,delivered
ORD100092,1275,P0018,Mobile Phone,3,945.0,2835.0,0.1,2025-11-08,MiniProgram,8,3,2,delivered
ORD100093,2811,P0058,Others,3,264.0,792.0,0.2,2025-10-04,Web,7,1,2,delivered
ORD100094,1155,P0026,Household,3,290.0,870.0,0.0,2026-01-22,App,14,1,2,delivered
ORD100095,277,P0055,Others,4,102.0,408.0,0.4,2025-12-25,App,14,3,2,delivered
ORD100096,987,P0008,Laptop & Accessory,1,2129.4,2129.4,0.37,2025-11-04,App,31,1,6,delayed
ORD100097,16,P0013,Mobile Phone,2,1528.0,3056.0,0.2,2025-12-02,Web,12,1,2,delivered
