order_id,user_id,product_id,category,rating,sentiment,review_date
ORD105232,1544,P0006,Laptop & Accessory,4,positive,2026-02-22
ORD104702,4277,P0069,Grocery,4,positive,2026-07-27
ORD105117,2214,P0018,Mobile Phone,4,positive,2025-10-16
ORD107442,2717,P0011,Laptop & Accessory,4,positive,2025-10-08
ORD104926,505,P0042,Fashion,3,neutral,2025-11-17
ORD108790,4174,P0017,Mobile Phone,4,positive,2025-09-27
ORD118865,2984,P0021,Mobile Phone,4,positive,2025-11-05
ORD121619,504,P0048,Fashion,5,positive,2026-01-30
ORD103416,2543,P0019,Mobile Phone,4,positive,2026-03-22
ORD114708,2149,P0009,Laptop & Accessory,4,positive,2025-09-21
ORD110897,471,P0019,Mobile Phone,4,positive,2025-12-31
ORD109758,189,P0004,Laptop & Accessory,4,positive,2026-04-11
ORD112170,1066,P0004,Laptop & Accessory,4,positive,2025-10-29
ORD112837,3023,P0071,Grocery,4,positive,2025-12-12
ORD119455,1749,P0013,Mobile Phone,4,positive,2025-11-16
ORD101825,3756,P0052,Others,5,positive,2026-06-14
ORD100873,2228,P0015,Mobile Phone,5,positive,2026-01-15
ORD114993,744,P0009,Laptop & Accessory,3,neutral,2026-05-31
ORD116735,1742,P0010,Laptop & Accessory,5,positive,2026-06-20
ORD106629,3754,P0043,Fashion,4,positive,2025-09-09
ORD122380,392,P0006,Laptop & Accessory,4,positive,2025-08-12
ORD114140,1576,P0014,Mobile Phone,5,positive,2025-10-09
ORD124098,2136,P0010,Laptop & Accessory,5,positive,2026-04-15
ORD106939,478,P0026,Household,4,positive,2026-05-28
ORD113353,555,P0010,Laptop & Accessory,5,positive,2026-07-04
ORD112478,3577,P0065,Grocery,4,positive,2026-02-10
ORD117781,641,P0020,Mobile Phone,5,positive,2026-03-20
ORD125131,2505,P0036,Household,3,neutral,2026-08-10
ORD113298,294,P0010,Laptop & Accessory,4,positive,2025-11-04
ORD109187,1093,P0026,Household,4,positive,2026-01-19
ORD105682,3220,P0031,Household,5,positive,2026-02-18
ORD123240,4074,P0024,Mobile Phone,5,positive,2026-01-15
ORD118024,905,P0004,Laptop & Accessory,4,positive,2026-01-08
ORD125050,4163,P0058,Others,4,positive,2026-08-20
ORD111629,750,P0045,Fashion,4,positive,2026-01-27
ORD114499,996,P0018,Mobile Phone,4,positive,2025-08-25
ORD111992,906,P0048,Fashion,3,neutral,2025-11-19
ORD119243,1300,P0029,Household,4,positive,2025-11-15
ORD111627,169,P0048,Fashion,4,positive,2026-02-20
ORD101612,181,P0046,Fashion,4,positive,2026-07-28
ORD101817,4041,P0009,Laptop & Accessory,4,positive,2025-12-30
ORD102599,2143,P0031,Household,5,positive,2026-03-03
ORD119436,1500,P0066,Grocery,3,neutral,2026-03-11
ORD123697,2139,P0018,Mobile Phone,4,positive,2025-12-07
ORD125447,2148,P0019,Mobile Phone,4,positive,2026-06-23
ORD103543,4390,P0037,Fashion,4,positive,2025-10-19
ORD119445,1685,P0009,Laptop & Accessory,4,positive,2026-07-11
ORD115022,661,P0024,Mobile Phone,5,positive,2026-05-23
ORD104371,1219,P0066,Grocery,5,positive,2026-07-23
ORD118443,4163,P0019,Mobile Phone,5,positive,2026-02-16
ORD101931,2082,P0021,Mobile Phone,4,positive,2026-08-30
ORD120260,3735,P0005,Laptop & Accessory,5,positive,2026-08-11
ORD114720,140,P0038,Fashion,4,positive,2026-02-15
ORD104462,2404,P0010,Laptop & Accessory,4,positive,2025-09-08
ORD102528,2898,P0019,Mobile Phone,4,positive,2025-12-02
ORD125546,1263,P0009,Laptop & Accessory,5,positive,2025-12-17
ORD109791,1860,P0018,Mobile Phone,3,neutral,2026-08-23
ORD124875,4097,P0029,Household,4,positive,2025-08-06
ORD113217,1861,P0004,Laptop & Accessory,4,positive,2026-04-29
ORD114047,3228,P0030,Household,5,positive,2025-09-08
ORD125058,343,P0010,Laptop & Accessory,4,positive,2025-10-14
ORD115706,1783,P0018,Mobile Phone,4,positive,2025-09-12
ORD116031,507,P0013,Mobile Phone,4,positive,2025-09-05
