user_id,customer_id,months_used,device,city_level,warehouse_dist,marital,age_group,gender,hours_app,orders_last_month,days_since_order,fav_category,followed_anchor,satisfaction,complaints,coupons_used
1,52041,3,Mobile Phone,3,6,Married,4,Male,2,11,19,Fashion,6,3,0,5
2,54306,4,Mobile Phone,1,12,Married,4,Female,3,3,19,Mobile Phone,7,5,0,1
3,51491,3,PC,1,11,Married,3,Female,2,2,19,Household,6,5,0,0
4,55036,18,Mobile Phone,1,36,Single,4,Male,3,14,18,Laptop & Accessory,3,1,0,12
5,53077,11,Mobile Phone,1,21,Married,4,Female,4,13,18,Mobile Phone,3,5,0,11
6,54547,11,Mobile Phone,1,21,Married,4,Female,4,13,18,Mobile Phone,3,5,0,11
7,53377,15,Mobile Phone,1,13,Single,4,Male,3,3,18,Mobile Phone,4,5,1,2
8,54847,15,Mobile Phone,1,13,Single,4,Male,3,3,18,Mobile Phone,4,5,1,2
9,53566,18,Mobile Phone,1,36,Single,4,Male,3,2,18,Laptop & Accessory,3,2,0,2
10,50802,16,Mobile Phone,3,10,Single,4,Female,2,15,17,Fashion,4,2,0,10
11,52272,16,Mobile Phone,3,10,Single,4,Female,2,15,17,Fashion,4,1,0,10
12,52221,17,PC,1,35,Single,3,Male,2,13,17,Laptop & Accessory,2,1,0,7
13,50262,13,PC,1,20,Married,3,Female,0,12,17,Household,2,5,0,8
14,51732,13,PC,1,20,Married,3,Female,0,12,17,Household,2,5,0,10
15,51374,17,Mobile Phone,1,13,Married,4,Female,2,5,17,Fashion,4,1,0,2
16,50562,14,PC,1,12,Single,3,Male,2,2,17,Mobile Phone,3,5,1,1
17,52032,14,PC,1,12,Single,3,Male,2,2,17,Mobile Phone,3,5,1,1
18,50751,17,PC,1,35,Single,3,Male,2,1,17,Laptop & Accessory,2,2,0,1
19,52844,19,PC,1,16,Married,4,Male,3,2,16,Laptop & Accessory,10,4,0,2
20,54314,19,PC,1,16,Married,4,Male,3,2,16,Laptop & Accessory,10,4,0,2
21,53443,1,Mobile Phone,1,23,Single,2,Female,3,16,15,Mobile Phone,3,5,0,16
22,54913,1,Mobile Phone,1,23,Single,2,Female,3,16,15,Mobile Phone,3,5,0,13
23,53992,31,Pad,3,9,Married,4,Male,3,15,15,Grocery,6,4,0,11
24,50511,8,Mobile Phone,1,15,Divorced,4,Female,3,5,15,Fashion,2,3,1,2
25,51981,8,Mobile Phone,1,15,Married,4,Female,3,5,15,Fashion,2,3,1,3
26,50029,18,PC,1,14,Married,3,Male,2,1,15,Laptop & Accessory,9,4,0,1
27,51499,18,PC,1,14,Married,3,Male,2,1,15,Laptop & Accessory,9,4,0,1
28,50628,3,PC,1,22,Single,1,Female,0,15,14,Household,2,5,0,15
29,52098,3,PC,1,22,Single,1,Female,0,15,14,Household,2,5,0,13
30,51177,33,Pad,3,8,Married,3,Male,2,14,14,Grocery,5,4,0,10
31,53659,13,Pad,3,14,Divorced,2,Female,3,7,14,Laptop & Accessory,4,5,0,6
32,55129,13,Pad,3,14,Married,2,Female,3,7,14,Laptop & Accessory,4,5,0,6
